date,market,riskfree,return,vol
2014-10-22,-0.001280943,0.0006,-0.008720704,-0.342848138
2014-10-23,0.006192355,0.0006,-0.06003718,2.193435398
2014-10-24,0.00414072,0.0006,-0.009470752,-0.486408245
2014-10-27,-0.001293692,0.0006,-0.004957507,-0.093656649
2014-10-28,0.011569258,0.0005,0.003644128,-0.614488638
2014-10-29,0.002256975,0.0007,-0.053357161,3.239660625
2014-10-30,0.001565145,0.0006,0.036857246,0.891610558
2014-10-31,0.010739571,0.0005,-0.018496041,-0.366978458
2014-11-03,-0.005143132,0.0007,-0.001171466,0.404310499
2014-11-04,-0.00072947,0.0006,0.012962963,0.244596937
2014-11-05,0.002912074,0.0007,0.03503961,0.442092617
2014-11-06,-0.000261088,0.0006,0.023844569,-0.100506694
2014-11-07,-0.000553968,0.0006,-0.018832662,-0.184666834
2014-11-10,0.005051825,0.0007,0.02078875,-0.045772773
2014-11-12,-0.000362193,0.0007,0.146894198,8.83623457
2014-11-13,-0.000362325,0.0008,-0.001904535,0.419445836
2014-11-14,0.000228505,0.0007,-0.049970185,-0.545942938
2014-11-17,-0.002166361,0.0007,-0.00769821,0.865680582
2014-11-18,0.007105301,0.0007,-0.033480244,-0.19943817
2014-11-19,-0.002257655,0.0007,0,-0.529536751
2014-11-20,0.000974245,0.0007,-0.049333333,0.262983535
2014-11-24,0.002532928,0.0008,0.043105566,2.133093935
2014-11-25,0.001337117,0.0007,-0.011096572,-0.324664211
2014-11-26,0.002880278,0.0007,-0.028873128,-0.272490391
2014-11-28,-0.004140658,0.0007,0.024362483,2.773552477
2014-12-01,-0.007358037,0.0008,0.011230017,-0.140945756
2014-12-02,0.003270947,0.0008,0.004807944,-0.077223748
2014-12-03,0.00253317,0.0007,-0.020622042,0.193027565
2014-12-04,-0.001489546,0.0008,-0.016037811,0.036336529
2014-12-05,0.000835702,0.0008,0.021696306,0.312157801
2014-12-08,-0.007101441,0.001,-0.030375381,2.705026969
2014-12-09,-0.002397177,0.0011,-0.038632011,1.195032515
2014-12-10,-0.013046767,0.001,-0.010615288,-0.675301011
2014-12-11,-0.000989846,0.0009,0.002675104,1.884765968
2014-12-12,-0.012920702,0.0009,0.011733318,-0.662636754
2014-12-15,-0.012256033,0.0011,-0.017589078,0.215884424
2014-12-16,-0.000753993,0.0011,-0.051347845,1.808057016
2014-12-17,0.010334222,0.0011,-0.031029662,0.231380821
2014-12-18,0.01918253,0.0012,-0.024370354,0.288778217
2014-12-19,0.006587122,0.0011,0.024850511,-0.534615931
2014-12-22,0.004344214,0.0016,0.026756891,0.356654732
2014-12-23,-0.000236362,0.0014,0.01517625,-0.435184818
2014-12-24,0.001386984,0.0014,-0.038117927,0.162519695
2014-12-26,0.002283051,0.001,0.040581809,0.751990296
2014-12-29,0.0019401,0.0012,-0.007327858,-0.214717038
2014-12-30,-0.005377861,0.0012,-0.012027491,0.336606119
2014-12-31,-0.005391175,0.0012,0.030112721,-0.107618947
2015-01-02,-0.002932017,0.0011,0.000539631,-0.497033375
2015-01-05,-0.01785842,0.001,0.072442637,-0.468771155
2015-01-06,-0.010155694,0.001,0.0290161,-0.101309534
2015-01-08,0.018480242,0.0008,-0.01199541,-0.241977396
2015-01-09,-0.004618126,0.0008,0.020586993,-0.084801522
2015-01-12,-0.004157937,0.0009,0.002496181,-0.123346977
2015-01-13,0.001104278,0.0008,-0.172996878,6.306198932
2015-01-14,-0.006666667,0.0009,-0.200107851,0.877611775
2015-01-15,-0.001621113,0.0008,0.177022472,-0.299456798
2015-01-16,0.006405677,0.0007,-0.002577443,-0.581110172
2015-01-20,0.001849529,0.0008,-0.025229358,0.729547419
2015-01-21,0.005979805,0.0008,0.063388235,0.032397758
2015-01-22,0.009486879,0.0008,0.028897641,0.075225459
2015-01-23,-0.000719254,0.0007,-0.004731183,-0.326794824
2015-01-26,0.002831629,0.0008,0.079598267,2.938973093
2015-01-27,-0.00268955,0.0008,-0.035168363,-0.601622059
2015-01-28,-0.008865445,0.0008,-0.106817408,0.007049849
2015-01-29,0.001164971,0.0007,-0.02006604,-0.228538905
2015-01-30,-0.009555993,0.0007,-0.012096077,-0.220942851
2015-02-02,0.008714755,0.0007,0.059051137,-0.366777988
2015-02-03,0.012205337,0.0007,-0.04633397,1.19178622
2015-02-04,0.000323127,0.0006,-0.0144101,-0.504527268
2015-02-05,0.006941052,0.0006,-0.040593666,-0.157532222
2015-02-06,-0.004037338,0.0007,0.02854512,-0.096767649
2015-02-09,-0.004037992,0.0008,-0.020098935,0.805456265
2015-02-10,0.005213879,0.0008,0.007185738,-0.375744507
2015-02-11,-0.002864138,0.0007,-0.010385623,-0.358332901
2015-02-12,0.011497328,0.0007,0.017567074,0.041325604
2015-02-13,0.006932018,0.0007,0.060490561,2.438282837
2015-02-17,0.000772445,0.0007,0.022922999,-0.090514696
2015-02-18,0.002755501,0.0007,-0.030910817,-0.079533029
2015-02-19,0.001000647,0.0007,0.027680777,-0.414392451
2015-02-20,0.003452624,0.0007,0.016534063,0.466298909
2015-02-23,0.000919575,0.0008,0.008576619,-0.290262315
2015-02-24,0.002633694,0.0008,0.004482239,-0.275838869
